date	from	text
2020-03-31T23:23:14	Бобылев Паша	У нас предприятие относится к категории жизнеобеспечения, мы работаем без перебоев
2020-04-01T01:01:00	Сорокин Андрей	Понятно
2020-04-01T08:44:01	Шмелёв Данил	Дома сидим
2020-04-01T10:27:23	Миша Трофимюк	Боб а Вам справки выдали?
2020-04-01T10:31:43	Бобылев Паша	Типо проездные, приказ генерального
2020-04-01T10:31:43	Бобылев Паша	
2020-04-01T10:35:30	Бобылев Паша	Думаю, одной неделей это не ограничится
2020-04-01T12:29:08	Сорокин Андрей	Че там как обстановка?
2020-04-01T12:29:15	Сорокин Андрей	Почты стоят?
2020-04-01T12:29:21	Сорокин Андрей	Прорваться можно?
2020-04-01T12:53:02	Бобылев Паша	Ни одного не видел пока
2020-04-01T12:53:28	Миша Трофимюк	я тоже ни 1 не видел по пути на работу
2020-04-01T12:53:37	Сорокин Андрей	) ок можно тусить)
2020-04-01T14:25:25	Шмелёв Данил	Сидитесукадома)
2020-04-01T14:25:54	Шмелёв Данил	Давайте сегодня чая выпьем в телеге?
2020-04-01T14:26:12	Шмелёв Данил	Тут есть видео звонки?
2020-04-01T14:30:04	Бобылев Паша	Что это значит?
2020-04-01T14:30:39	Бобылев Паша	Видео звонки есть, на группу не знаю
2020-04-01T14:32:38	Бобылев Паша	А то два месяца придётся под стражей сидеть
2020-04-01T14:36:40	Сорокин Андрей	Ну в одного до дачи скататься тоже как дома сидеть, только на даче
2020-04-01T14:37:41	Бобылев Паша	Легко, ты один ездил?
2020-04-01T14:44:00	Сорокин Андрей	С папой вчера
2020-04-01T14:57:17	Бобылев Паша	Я бы тоже в бане попарился с удовольствием
2020-04-01T14:57:33	Бобылев Паша	Пятью вениками
2020-04-01T15:00:40	Сорокин Андрей	Ну пятью много, двумя
2020-04-01T16:36:56	Бобылев Паша	Давай попробуем прорваться на выходных
2020-04-01T17:08:47	Сорокин Андрей	Ага, я уже прорвался
2020-04-01T17:09:02	Сорокин Андрей	
2020-04-01T17:25:18	Бобылев Паша	Красота, топишь?
2020-04-01T17:25:22	Бобылев Паша	Я как раз освободился)
2020-04-01T17:25:31	Сорокин Андрей	Ага, затопил
